name,role,Batting Style,Bowling Style,team,bat_matches,bat_innings,bat_runs,bat_balls,bat_highest,bat_average,bat_sr,bat_not_out,bat_fours,bat_sixes,bat_ducks,bat_50s,bat_100s,bat_200s,bat_300s,bat_400s,bowl_matches,bowl_innings,bowl_balls,bowl_runs,bowl_maidens,bowl_wickets,bowl_avg,bowl_eco,bowl_sr,bowl_bbi,bowl_bbm,bowl_4w,bowl_5w,bowl_10w,player_image_filename
Akash Maharaj Singh,Bowler,Right Handed Bat,Left-arm fast-medium,Lucknow Super Giants,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,205,326,0,9,36.22,9.54,22.78,2/30,2/30,0,0,0,lucknow-super-giants__akash-maharaj-singh.jpg
Avesh Khan,Bowler,Right Handed Bat,Right-arm fast-medium,Lucknow Super Giants,80,17,68,43,19,17,158.14,13,7,4,1,0,0,0,0,0,80,80,1721,2634,1,92,28.63,9.18,18.71,4/24,4/24,1,0,0,lucknow-super-giants__avesh-khan.jpg
Mohammed Shami,Bowler,Right Handed Bat,Right-arm fast,Lucknow Super Giants,125,33,98,100,21,5.76,98.00,16,8,3,5,0,0,0,0,0,125,125,2744,3934,3,138,28.51,8.6,19.88,4/11,4/11,2,0,0,lucknow-super-giants__mohammed-shami.jpg
Prince Yadav,Bowler,Right Handed Bat,Right-arm fast,Lucknow Super Giants,12,2,5,10,4,0,50.00,2,0,0,0,0,0,0,0,0,12,12,269,414,0,14,29.57,9.23,19.21,3/32,3/32,0,0,0,lucknow-super-giants__prince-yadav.jpg
Mohsin Khan,Bowler,Left Handed Bat,Left-arm fast-medium,Lucknow Super Giants,26,6,25,25,13,6.25,100.00,2,2,1,2,0,0,0,0,0,26,25,534,751,3,29,25.9,8.44,18.41,4/16,4/16,1,0,0,lucknow-super-giants__mohsin-khan.jpg
Digvesh Singh Rathi,Bowler,Right Handed Bat,Right-arm legbreak,Lucknow Super Giants,17,3,1,6,1,1,16.67,2,0,0,0,0,0,0,0,0,17,17,408,582,0,17,34.24,8.56,24.0,2/30,2/30,0,0,0,lucknow-super-giants__digvesh-singh-rathi.jpg
Manimaran Siddharth,Bowler,Right Handed Bat,Left-arm orthodox,Lucknow Super Giants,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,162,236,0,7,33.71,8.74,23.14,2/35,2/35,0,0,0,lucknow-super-giants__manimaran-siddharth.jpg
Mayank Yadav,Bowler,Right Handed Bat,Right-arm fast,Lucknow Super Giants,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,121,185,0,9,20.56,9.17,13.44,3/14,3/14,0,0,0,lucknow-super-giants__mayank-yadav.jpg
Anrich Nortje,Bowler,Right Handed Bat,Right-arm fast,Lucknow Super Giants,49,18,49,50,23,7,98.00,11,6,0,3,0,0,0,0,0,49,49,1120,1696,1,61,27.8,9.09,18.36,3/33,3/33,0,0,0,lucknow-super-giants__anrich-nortje.jpg
Naman Tiwari,Bowler,Left Handed Bat,Left-arm fast-medium,Lucknow Super Giants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lucknow-super-giants__naman-tiwari.jpg
